,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
205,204,Does the company rotate oï¬ƒce duty to ensure that those shared duties are not assigned to only women?,Safe & healthy workplace environment  ,,,,Define clear responsibilities for everyone involved in the onboarding process (Onboarding),No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
206,205,"Are specific clauses related to sexual harassment, GBV and sexual misconduct included in the company's supplier code of conduct?",Safe & healthy workplace environment  ,,"GBV_PHYSEX_F_35,WRK_SEXHAR_F_92,GBV_HRSPEN_T_163,WRK_HARASS_F_4057,WRK_WRYHAR_F_4056","% of women age 15-49 who have ever experienced physical or sexual violence, Is there legislation on sexual harassment in employment?, Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Sexual harassment,GBV,Supply Chain",Policy,"Yes/no response contributing to sub-parameter score
",,,
207,206,Does the company assess differential impacts on men and women during environmental impact assessments?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation
208,207,Does the company provide onsite childcare services or similar childcare support?,Safe & healthy workplace environment  ,,CAR_MINUTE_F_122,# of minutes per day that women spend on unpaid care work,"Establish childcare facilities (e.g., crÃ¨che or nursery) or provide monetary assistance with childcare arrangements (Benefits)*Establish policies to promote reconciliation of work-life and family-life (Policies)",No,"Care Duties,Workplace Infrastructure",Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation
209,208,Does the company track stakeholder engagement and participation in community consultations disaggregated by sex?,Safe & healthy workplace environment  ,,POL_PLBIAS_F_72,% of women that express political gender bias (believe that men make better political leaders or do not think women have the same rights as men),"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Consultation,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement
210,209,Does the company provide gender-sensitive training to facilitators of community consultations?,Safe & healthy workplace environment  ,,POL_PLBIAS_F_72,% of women that express political gender bias (believe that men make better political leaders or do not think women have the same rights as men),"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Discrimination,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation
211,210,Does the company measure and track environmental claims based on sex-disaggregated data?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement
212,211,Does the company monitor and audit business travel and client entertainment expenses to detect and ensure no inappropriate behavior?,Safe & healthy workplace environment  ,,,,Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,"Business Travel,Client Entertainment",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement
213,212,"Does the company have specific diversity and inclusion targets in place (e.g., for internal positions across hierarchy levels as well as along the value chain: customers/business segments, suppliers, etc.)",Safe & healthy workplace environment  ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)",No,Diversity & Inclusion,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
214,213,"Does the company develop a network of external support organizations for victims and survivors of gender-based violence (e.g., social services, counseling, police, etc.)?",Safe & healthy workplace environment  ,,"GBV_PHYSEX_F_35,GBV_HELPSK_F_37","% of women age 15-49 who have ever experienced physical or sexual violence, % of ever-married women who have ever experienced any physical or sexual violence who sought help to stop violence",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,GBV,Practice,"Yes/no response contributing to sub-parameter score
",,,
215,214,"For organizations that have any engagement with children, does the company have a child protection policy in place?",Safe & healthy workplace environment  ,,,,Establish a child protection policy that specifically takes into account gender-specific risks ,No,Child Protection,Policy,"Yes/no response contributing to sub-parameter score
",,,
216,215,"Does the company offer maternity protection to ensure no workplace hazards, including chemical, biological and physical hazards (i.e., uses of pesticides, metals, dyes and solvents, noise and vibration, radiation or infectious diseases) for pregnant and breastfeeding women?",Safe & healthy workplace environment  ,,ENV_FMPOIS_F_5007,"Female mortality rate attributed to unintentional poisoning (per 100,000 female population)",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",,,
217,216,Does the company have a stand-alone policy or a commitment embedded in a broader corporate policy that states zero tolerance of sexual harassment and all forms of violence at work (including while on business-related travel and in client entertainment) for employees and subcontracted workers?,Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,"Sexual harassment,GBV",Policy,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Commitment
218,217,"Does the company provide annual training on zero tolerance of all forms of violence to all employees, including sexual harassment, and engaging in acts of sexual exploitation of women and girls while on business travel? ",Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?","Provide training to all male and female employees and managers on what sexual harassment is, how to prevent it, report it, and respond to it with a survivor-centered approach (Training)",No,"Sexual harassment,GBV",Practice,"Yes/no response contributing to sub-parameter score
",,,
219,218,Does the company adhere to adequate supervision and physical safety standards for women in the workplace?,Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023,WRK_INSPEC_F_5034","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers, # of female labor inspectors",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",,,
220,219,"If so, does the company consider the environmental impact that could potentially aï¬€ect men and women diï¬€erently?",Safe & healthy workplace environment  ,,ENV_POLEMS_T_5750,Progress on managing pollution emissions on a scale from 0 to 100,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Practice,"Yes/no response contributing to sub-parameter score
",,,
221,220,"Does the company report to the Board of Directors health and safety incidents, disaggregated by sex?",Safe & healthy workplace environment  ,,,,"Collect, analyze, and report sex-disaggregated data on occupational injuries and diseases",No,Occupational Health & Safety,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
222,221,Does the company report its progress and target improvement on environmental policies (if any) to the Board of Directors?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
223,222,Does the company have formal accountability mechanisms for progress and outcomes on said strategy?,Safe & healthy workplace environment  ,,,,"Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)",No,"Gender Equality,Women's Empowerment",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
224,223,Does the company have an organization-wide gender equality strategy that was developed in consultation with external stakeholders?,Safe & healthy workplace environment  ,,,,"Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
225,224,"Does the company ensure equal participation of women and men in community consultations at times in which women can attend, bearing in mind home care and other responsibilities?",Safe & healthy workplace environment  ,,"CAR_MINUTE_F_122,POL_PLBIAS_F_72","# of minutes per day that women spend on unpaid care work, % of women that express political gender bias (believe that men make better political leaders or do not think women have the same rights as men)","Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,"Local Community,Care Duties",Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation
226,225,Does the company conduct a gender audit of all policies?,Safe & healthy workplace environment  ,,,,"Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,"Gender Equality,Discrimination",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement
227,226,Does the company have an organization-wide gender equality strategy that is communicated to all employees?,Safe & healthy workplace environment  ,,,,"Communicate company commitment to gender equality, diversity, and inclusion during onboarding (Onboarding)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)*Adopt and implement a gender equality and social inclusion policy (Policies)*Establish a corporate-level equal employment opportunity (EEO) policy (Policy)",No,Gender Equality,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
228,227,"Does the company report publicly to its stakeholders any health and safety incidents, disaggregated by sex?",Safe & healthy workplace environment  ,,,,"Collect, analyze, and report sex-disaggregated data on occupational injuries and diseases",No,Occupational Health & Safety,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
229,228,"Does the company make sure its employees understand that the company does not approve of business travel and client entertainment related to the sexual exploitation of women and girls, including visits to strip clubs, redlight districts, and arrangements for transactional sex?",Safe & healthy workplace environment  ,,"TRF_ADULTV_F_1027,TRF_CHILDV_F_1029","# of detected trafficking victims that are women, # of detected trafficking victims that are girls","Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)*Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies)",No,"Sex Industry,Business Travel,Client Entertainment","Practice,Communication/ Reporting","Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
230,229,Does the company report its progress and target improvements on gender equality and women's empowerment (if any) to the Board of Directors?,Safe & healthy workplace environment  ,,,,"Develop a business case for gender equality, diversity, and inclusion based on company-specific gender and diversity assessment (Corporate Culture & Leadership)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ",No,"Gender Equality,Women's Empowerment",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
231,230,Does the company have an organization-wide gender equality strategy that identifies specific priority areas where further improvement can be made?,Safe & healthy workplace environment  ,,,,"Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development)*Devise a targeted strategy to retain top female talent including high-performing women, women in key technical functions, and women demonstrating leadership potential (Retention)*Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
232,231,Have actions been put into place with regard to the International ILO Convention Ending Violence and Harassment in the World of Work?,Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92,GBV_HRSPEN_T_163","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?, Are there criminal penalties or civil remedies for sexual harassment in employment?","Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies)*Develop workplace policies to prevent and respond to domestic violence (Policies)*Provide training to all male and female employees and managers on what sexual harassment is, how to prevent it, report it, and respond to it with a survivor-centered approach (Training)",No,"Sexual harassment,GBV",Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
233,232,Does the company communicate its commitment to build a diverse and inclusive culture to all employees and notify employees of any changes?,Safe & healthy workplace environment  ,,,,"Prepare the company to be seen as inclusive for women with diverse social identities (Attraction)*Communicate company commitment to gender equality, diversity, and inclusion during onboarding (Onboarding)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)*Make gender equality, diversity, and inclusion part of the workplace culture (Corporate Culture)*Participate in gender equality and diversity awards, rankings certification processes (Company Performance & Reporting)*Establish a corporate-level equal employment opportunity (EEO) policy (Policy)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)*Showcase company commitment to gender equality, diversity, and inclusion through membership in relevant networks, associations, and conferences (Corporate Branding)*Showcase company commitment through adoption of international standards and participation in rankings or awards on gender equality, diversity, and inclusion (Corporate Branding)",No,Diversity & Inclusion,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
234,233,Does the company develop guidelines for customer services and support teams?,Women-powered value chain,,,,"Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)*Assess and cater to the specific needs of female customers ",No,Customer Service & Support,Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Target Women Customers,Communication
235,234,Does the company have a marketing approach that seeks to challenge existing gender norms and promote positive images of women and girls?,Women-powered value chain,,"WRK_ECBIAS_F_64,EDU_EDBIAS_F_62,POL_PLBIAS_F_72","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), % of women that express educational gender bias (believe that university is more important for a man than a woman), % of women that express political gender bias (believe that men make better political leaders or do not think women have the same rights as men)",Assess and cater to the specific needs of female customers ,No,Gender Stereotypes,Practice,"Yes/no response contributing to sub-parameter score
",,,
236,235,"Does the company offer independently, or as part of a business association, ongoing capacity building to suppliers and vendors to support continuous improvement on gender equality?",Women-powered value chain,,WRK_WAGEGP_T_1039,% gender wage gap,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Supplier Capacity Building,Practice,"Yes/no response contributing to sub-parameter score
",,,
237,236,Does the company consider gender diï¬€erences in access to products and/or services and subsequently changes distribution models to accommodates these diï¬€erences?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
",,,
238,237,Does the company provide training to women to complete formal bid processes?,Women-powered value chain,,,,Scale up access to business training and mentorship opportunities,No,"Training,Procurement Processes",Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation
239,238,Does the company include gender-specific questions in supplier self-assessments?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Supply Chain,Procurement Processes",Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency
240,239,Does the company conduct regular audits to assess and measure suppliers compliance with the aforementioned human rights and gender equality requirements?,Women-powered value chain,,"TRF_TPTIER_T_138,TRF_SLAVRY_T_162,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","TIP tier ranking, Estimated prevalence of modern slavery, victims per 1,000 population, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance),No,"Gender Equality,Working Conditions",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
241,240,Does the company incorporate gender equality expectations in supplier communications?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation
242,241,Does the company work with suppliers to develop a corrective action plan if gender equality risks or challenges arise?,Women-powered value chain,,"WRK_EMPDIS_F_91,WRK_EQREMU_F_93","Does the law prohibit discrimination in employment based on gender?, Does the law mandate equal remuneration for work of equal value?","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
243,242,Does the company communicate publicly to company stakeholders its commitment not to perpetuate gender stereotypes? Is there an easily accessible communication channel for the public to provide feedback and report incidences where stereotypes are perceived to be perpetuated?,Women-powered value chain,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Gender Stereotypes,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
244,243,Does the company measure and evaluate complaints related to incidents in its supply chains and their gender dimensions?,Women-powered value chain,,"TRF_TPTIER_T_138,TRF_SLAVRY_T_162,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","TIP tier ranking, Estimated prevalence of modern slavery, victims per 1,000 population, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,"Workplace Behavior & Violence,Working Conditions,Supply Chain",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
245,244,Does the company have a marketing strategy tailored to women as a customer segment?,Women-powered value chain,,PAG_PURCHS_F_113,% of women who have final say in making large purchases,Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Target Women Customers,Implementation
246,245,Does the company provide training on unconscious biases for employees who have direct exposure to customers?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used","Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)",No,"Discrimination,Customer Service & Support",Practice,"Yes/no response contributing to sub-parameter score
",,,
247,246,"Does the company encourage suppliers and vendors to have a gender equality strategy or policy that addresses non-discrimination, equal pay for equal work and the health and safety of women workers?",Women-powered value chain,,"WRK_EMPDIS_F_91,WRK_EQREMU_F_93","Does the law prohibit discrimination in employment based on gender?, Does the law mandate equal remuneration for work of equal value?","Develop a business case for gender equality, diversity, and inclusion based on company-specific gender and diversity assessment (Corporate Culture & Leadership)",No,"Discrimination,Pay,Gender Equality,Supply Chain",Practice,"Yes/no response contributing to sub-parameter score
",,,
248,247,Does the company conduct customer service to verify the availability and function of products and services to fulfill their unmet needs?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
",,,
249,248,"Does the company consider gender aspects of its customers when designing or offering new products and services (e.g., size, design)?",Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
",,,
250,249,Does the company conduct regular audits and product testing to make sure products and services meet the specific needs of women and men?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance),No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
251,250,Does the company have outreach initiatives to communicate procurement opportunities to women-owned or-led businesses?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women",Support procurement reforms to encourage supply chain diversity,No,"Procurement Processes,Women-led businesses",Practice,"Yes/no response contributing to sub-parameter score
",,,
252,251,"Does the company include gender equality criteria in standard auditing protocols, supplier scorecards or other supply chain management tools?",Women-powered value chain,,,,Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,"Supply Chain,Procurement Processes",Practice,"Yes/no response contributing to sub-parameter score
",,,
253,252,Does the company set up standard policies and procedures for its procurement and distribution processes?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Procurement Processes,Policy,"Yes/no response contributing to sub-parameter score
",,,
254,253,Does the company apply a supplier diversity program to its procurement and distribution processes?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Procurement Processes,Practice,"Yes/no response contributing to sub-parameter score
",,,
255,254,Does the company encourage and work with suppliers to adopt policies and practices that support quality health and hygiene for both men and women?,Women-powered value chain,,PUH_MRFWSH_F_3509,"Female mortality rate attributed to exposure to unsafe WASH services (per 100,000 population)","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Healthcare,SHRH & Hygiene,Supply Chain",Practice,"Yes/no response contributing to sub-parameter score
",,,
256,255,Does the company review its policies and processes to ensure no gender discrimination against men or women exists in its supply chains?,Women-powered value chain,,"WRK_EMPDIS_F_91,WRK_EQREMU_F_93","Does the law prohibit discrimination in employment based on gender?, Does the law mandate equal remuneration for work of equal value?","Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,"Discrimination,Supply Chain",Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Commitment
257,256,Does the company have processes in place to make sure corrective action is taken when new information suggests products and services do not suï¬ƒciently meet the needs of women or perpetuate stereotypes?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance),No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
258,257,"Does the company collect information to ensure that its suppliers adopt anti-sexual harassment (and any gender discrimination) policy, and have no involvement with human traï¬ƒcking and slavery?",Women-powered value chain,,"TRF_TPTIER_T_138,TRF_SLAVRY_T_162","TIP tier ranking, Estimated prevalence of modern slavery, victims per 1,000 population","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Sexual harassment,Human Trafficking",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
259,258,Does the company undertake due diligence or assessments to identify human traï¬ƒcking in its supply chain? Is there a requirement for suppliers to have a complaints mechanism and whistleblower protection in place?,Women-powered value chain,,"TRF_TPTIER_T_138,TRF_SLAVRY_T_162","TIP tier ranking, Estimated prevalence of modern slavery, victims per 1,000 population",Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,Human Trafficking,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
260,259,Does the company consult stakeholders and focus groups to continuously improve the design of products and services for women?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
261,260,"Does the company have robust due diligence or assessment processes for suppliers and vendors to ensure they are not causing or contributing to adverse human rights impacts, particularly for women and girls?",Women-powered value chain,,,,Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,Working Conditions,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
262,261,Does the company communicate to the Board of Directors its commitment to ensuring products and services are developed with the needs of women and men in mind?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,Products & Services,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
263,262,Does the company track the percentage spent with women-owned or -led businesses?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women",Collect and report on gender equality and diversity targets throughout the company supply chain,No,Women-led businesses,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
264,263,Is there a diï¬€erent pricing strategy for men and women suppliers?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,Supply Chain,Practice,"Yes/no response contributing to sub-parameter score
",,,
265,264,Does the company track the revenue and profit generated by women customers?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Collect and analyze sex-disaggregated customer data,No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Target Women Customers,Measurement
266,265,Does the company track segmented customer data to understand women's spending patterns and needs?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Collect and analyze sex-disaggregated customer data,No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
267,266,Does the company have a supplier or vendor code of conduct that explicitly states support for gender equality as well as requires specific gender equality related policies and practices?,Women-powered value chain,,"WRK_EMPDIS_F_91,WRK_EQREMU_F_93","Does the law prohibit discrimination in employment based on gender?, Does the law mandate equal remuneration for work of equal value?",Adopt international standards and endorse international commitments for gender equality (Company Performance & Reporting),No,"Gender Equality,Supply Chain",Policy,"Yes/no response contributing to sub-parameter score
",,,
268,267,Does the company make its supply chain transparent to the public?,Women-powered value chain,,,,Collect and report on gender equality and diversity targets throughout the company supply chain,No,Supply Chain,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
